variable_name,variable_type,variable_label,missing_values,non_missing_values
idstd,numeric,WEB STD FIRMID,0,270193
country,character,Economy,0,270193
region,"haven_labelled, vctrs_vctr, double",Region,0,270193
sample,numeric,Dummy equal 1 for the latest survey in each economy,0,270193
wt,numeric,Weight According To Median Eligibility,0,270193
wt_br,numeric,Weights for follow-up survey sample questions according to median eligibility,264442,5751
wt_rs,numeric,Control: Re-Scaled Es Survey Weights,0,270193
stra_sector,character,Cut: Stratification Sector,0,270193
sector_ms,character,"Sector: Manufacturing Or Services, based on stra_sector",0,270193
size,"haven_labelled, vctrs_vctr, double","Small, Medium, And Large Firm Categories Based On No. Of Employees",0,270193
size_num,numeric,"Total Number Of Full Time Employees, Adjusted For Temp. and Part-time Workers",1383,268810
a3ax,character,City/ Town/ Village,0,270193
isic_v4,numeric,"ISIC code (Rev. 4.0), based on d1a2_v4",11804,258389
isic_v3_1,numeric,"ISIC Code 3.1., Based On d1a2",99384,170809
a6b,"haven_labelled, vctrs_vctr, double",NOT FOR ANALYSIS: Screener Size,66238,203955
a6c,numeric,Screener Size,140575,129618
a6c_br,numeric,Follow-up: Screener Size,268715,1478
a7,"haven_labelled, vctrs_vctr, double",Establishment Is Part Of A Large Firm,3791,266402
a7_br,"haven_labelled, vctrs_vctr, double",Follow-up: Establishment part of a multi-establishment Firm?,268715,1478
a7a,"haven_labelled, vctrs_vctr, double",Number Of Establishments In The Firm,193173,77020
a7a_br,"haven_labelled, vctrs_vctr, double",Follow-up: Number of Establishments In The Firm,270193,0
a7c,"haven_labelled, vctrs_vctr, double",Does This Headquarters Location Engage In Production Or Sales At This Location?,256571,13622
a7c_br,"haven_labelled, vctrs_vctr, double",Follow-up: Does This Headquarters Location Engage In Production or Sales At This,270193,0
a8,"haven_labelled, vctrs_vctr, double",Type Of Establishment,207094,63099
a8a,numeric,Type Of Establishment,268040,2153
a9,"haven_labelled, vctrs_vctr, double",Establishment'S Financial Statements Prepared Separately From Hq Statements,200504,69689
a9_br,"haven_labelled, vctrs_vctr, double",Follow-up: Establishment'S Financial Statements Prepared Separately From Hq Stat,270193,0
a10,"haven_labelled, vctrs_vctr, double",Establishment Financial Statements Separate From Other Establishments,205721,64472
a11,"haven_labelled, vctrs_vctr, double","If Hq, Financial Statements Independent Of The Rest Of Establishment",193048,77145
a11_br,"haven_labelled, vctrs_vctr, double","Follow-up: If Hq, Financial Statements Independent of The Rest of Establishment",270193,0
a11a,numeric,How Many Establishments Are Included In The Financial Statements?,260029,10164
a14,character,Start Date,0,270193
a14d,numeric,Day,4903,265290
a14d_br,"haven_labelled, vctrs_vctr, double",Follow-up: Day,268715,1478
a14h,numeric,Hour,6688,263505
a14h_br,"haven_labelled, vctrs_vctr, double",Follow-up: Hour,268715,1478
a14m,numeric,Month,5799,264394
a14m_br,"haven_labelled, vctrs_vctr, double",Follow-up: Month,268715,1478
a14min,numeric,Minutes,6341,263852
a14min_br,"haven_labelled, vctrs_vctr, double",Follow-up: Minutes,268715,1478
a14y,numeric,Year,29791,240402
a14y_br,"haven_labelled, vctrs_vctr, double",Follow-up: Year,268715,1478
a15,character,End Date,0,270193
a15d,numeric,Day,6078,264115
a15d_br,"haven_labelled, vctrs_vctr, double",Follow-up: Day,268715,1478
a15h,numeric,Hour,6358,263835
a15h_br,"haven_labelled, vctrs_vctr, double",Follow-up: Hour,268715,1478
a15m,numeric,Month,6101,264092
a15m_br,"haven_labelled, vctrs_vctr, double",Follow-up: Month,268715,1478
a15min,numeric,Minutes,6368,263825
a15min_br,"haven_labelled, vctrs_vctr, double",Follow-up: Minutes,268715,1478
a15y,numeric,Year,51532,218661
a15y_br,"haven_labelled, vctrs_vctr, double",Follow-up: Year,268715,1478
a16,"haven_labelled, vctrs_vctr, double",Perception Of The Questions Regarding Opinions And Perceptions,13395,256798
a16_br,"haven_labelled, vctrs_vctr, double",Follow-up: Perception of The Questions Regarding Opinions And Perceptions,267728,2465
a17,"haven_labelled, vctrs_vctr, double",Responses To The Questions About Figures Areâ€¦,551,269642
a17_br,"haven_labelled, vctrs_vctr, double",Follow-up: Responses To The Questions About Figures Areâ€¦,267728,2465
a18,"haven_labelled, vctrs_vctr, double",This Questionnaire Was Completed In:,6576,263617
a18_br,"haven_labelled, vctrs_vctr, double",Follow-up: This Questionnaire Was Completed In:,267728,2465
a19h,numeric,"If Option 2 Or 3 In A.18, Estimate Duration Of The Whole Interview: Hours",224007,46186
a19h_br,"haven_labelled, vctrs_vctr, double","Follow-up: If Option 2 or 3 In A.18, Estimate Duration of The Whole Interview: H",270089,104
a19min,numeric,"If Option 2 Or 3 In A.18, Estimate Duration Of The Whole Interview:Minutes",223899,46294
a20dend,numeric,Fiscal Year End Day,264996,5197
a20dstart,numeric,Day When The Fiscal Year Begins,267777,2416
a20mend,numeric,Fiscal Year End Month,264996,5197
a20mstart,numeric,Month When The Fiscal Year Begins,267777,2416
a20yend,numeric,Year When The Fiscal Year Ends,267777,2416
a20ystart,numeric,Year When The Fiscal Year Begins,267777,2416
b1,"haven_labelled, vctrs_vctr, double",Legal Status Of The Firm,5,270188
b1x,character,Other (Specify),0,270193
b2a,"haven_labelled, vctrs_vctr, double","% Owned By Private Domestic Individuals, Companies Or Organizations",511,269682
b2b,"haven_labelled, vctrs_vctr, double","% Owned By Private Foreign Individuals, Companies Or Organizations",534,269659
b2c,"haven_labelled, vctrs_vctr, double",% Owned By Government/State,525,269668
b2d,"haven_labelled, vctrs_vctr, double",% Owned By Other,531,269662
b3,"haven_labelled, vctrs_vctr, double",What Percentage Of This Firm Does The Largest Owner(S) Own?,52701,217492
b3a,numeric,Is the largest owner also the top manager?,161858,108335
b4,"haven_labelled, vctrs_vctr, double","Amongst The Owners Of The Firm, Are There Any Females?",3702,266491
b4a,"haven_labelled, vctrs_vctr, double",% Of The Firm Owned By Females,208965,61228
b4a_cat,"haven_labelled, vctrs_vctr, double",Female Ownership Categories,74628,195565
b5,"haven_labelled, vctrs_vctr, double",Year Establishment Began Operations,43,270150
b6,"haven_labelled, vctrs_vctr, double",Number Of Full-Time Employees Of The Establishment When It Started Operations,5318,264875
b6a,"haven_labelled, vctrs_vctr, double",Was Establishment Formally Registered When It Began Operations?,9629,260564
b6b,"haven_labelled, vctrs_vctr, double",In What Year Was This Establishment Formally Registered?,21290,248903
b7,"haven_labelled, vctrs_vctr, double",How Many Years Of Experience Working In This Sector Does The Top Manager Have?,1040,269153
b7a,"haven_labelled, vctrs_vctr, double",Is The Top Manager Female?,28951,241242
b8,"haven_labelled, vctrs_vctr, double",Does Establishment Have An Internationally-Recognized Quality Certification?,194,269999
b8x,character,Specify The Internationally-Recognized Quality Certifications,0,270193
c1,"haven_labelled, vctrs_vctr, double",Use Of Own Transport,257716,12477
c2,"haven_labelled, vctrs_vctr, double",% Of Shipments Use Own Transport,262084,8109
c3,"haven_labelled, vctrs_vctr, double",Application To Obtain An Electrical Connection Submitted Over The Last 2 Years,85,270108
c3_br,"haven_labelled, vctrs_vctr, double",Follow-up: Application To Obtain An Electrical Connection Submitted Over The Las,268715,1478
c4,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Receive An Electrical Connection Service?,234184,36009
c5,"haven_labelled, vctrs_vctr, double",Informal Gift/Payment Expected Or Requested For An Electrical Connection?,234132,36061
c31,"haven_labelled, vctrs_vctr, double",Cost to obtain electrical connection,263351,6842
c31_br,"haven_labelled, vctrs_vctr, double",Cost to obtain electrical connection,269937,256
c32,"haven_labelled, vctrs_vctr, double",Electricity consumption in a typical month (kWh),197586,72607
c32_br,"haven_labelled, vctrs_vctr, double",Electricity consumption in a typical month (kWh),267397,2796
c32b,"haven_labelled, vctrs_vctr, double",Cost of monthly electricity consumption,252630,17563
c6,"haven_labelled, vctrs_vctr, double","Over Last Fy, Did This Establishment Experience Power Outages?",693,269500
c7,"haven_labelled, vctrs_vctr, double",Number Of Power Outages Experienced In A Typical Month In Last Fiscal Year,142827,127366
c8,"haven_labelled, vctrs_vctr, double",How Long Did The Average Power Outage Last?,164985,105208
c8a,"haven_labelled, vctrs_vctr, double",Average Duration Of Power Outages {Hours; Minutes},224890,45303
c8b,"haven_labelled, vctrs_vctr, double",How Long Did These Power Outages Last On Average?,224761,45432
c9a,"haven_labelled, vctrs_vctr, double","In Last Fy, Losses As % Of Annual Sales Due To Power Outages",172636,97557
c9b,"haven_labelled, vctrs_vctr, double","In Last Fy, Value Of Losses Due To Power Outages",241241,28952
c10,"haven_labelled, vctrs_vctr, double",Generator Shared Or Owned Over The Course Of Last Fiscal Year?,21640,248553
c11,"haven_labelled, vctrs_vctr, double",% Electricity From Generator Owned/Shared By The Establishment In Last Fiscal Yr,190539,79654
c43,"haven_labelled, vctrs_vctr, double","Over FY, did establishment use on-site solar panels?",252191,18002
c44,"haven_labelled, vctrs_vctr, double",Percentage of electricity from solar panels,267453,2740
c12,"haven_labelled, vctrs_vctr, double",Application To Obtain A Water Connection Submitted Over The Last 2 Years,7278,262915
c12_br,"haven_labelled, vctrs_vctr, double",Follow-up: Application To Obtain A Water Connection Submitted Over The Last 2 Ye,268715,1478
c13,"haven_labelled, vctrs_vctr, double",How Many Days Did It Take For You To Obtain A Water Connection?,251497,18696
c14,"haven_labelled, vctrs_vctr, double","When You Applied For A Water Connection, Was An Informal Gift/Payment Requested?",251452,18741
c33,"haven_labelled, vctrs_vctr, double",Cost to obtain water connection,267146,3047
c33_br,"haven_labelled, vctrs_vctr, double",Cost to obtain water connection,270086,107
c34,"haven_labelled, vctrs_vctr, double",Water consumption in a typical month,197586,72607
c34_br,"haven_labelled, vctrs_vctr, double",Water consumption in a typical month,267397,2796
c34b,"haven_labelled, vctrs_vctr, double",Unit measure of answer to C34,224774,45419
c34b_br,"haven_labelled, vctrs_vctr, double",Unit measure of answer to BEEc2b,268518,1675
c34bx,character,Other (Specify),0,270193
c34bx_br,character,Other (Specify),0,270193
c34c,"haven_labelled, vctrs_vctr, double",Cost of monthly water consumption,252191,18002
c45,"haven_labelled, vctrs_vctr, double",Which best characterizes quality of piped water received from utility provider,252191,18002
c15,"haven_labelled, vctrs_vctr, double",Did You Experience Insufficient Water Supply For Production In Last Fiscal Yr?,163953,106240
c15_br,"haven_labelled, vctrs_vctr, double",Did You Experience Insufficient Water Supply For Production In Last FY?,269506,687
c15_esbr,"haven_labelled, vctrs_vctr, double",Did this establishment experience insufficient water supply?  COMBINED VERSION M,269653,540
c152,"haven_labelled, vctrs_vctr, double",Did You Experience Insufficient Water Supply In Last FY?,198375,71818
c152_br,"haven_labelled, vctrs_vctr, double",Did You Experience Insufficient Water Supply In Last FY?,268185,2008
c16,"haven_labelled, vctrs_vctr, double",Frequency Of Incidents Of Water Shortages In A Typical Month In Last Fiscal Yr,255552,14641
c16_esbr,"haven_labelled, vctrs_vctr, double",Number of incidents of water insufficiency in a typical month.  COMBINED VERSION,270072,121
c162,"haven_labelled, vctrs_vctr, double",Frequency of Incidents of Water Shortages In A Typical Month In Last FY,262813,7380
c162_br,"haven_labelled, vctrs_vctr, double",Frequency of Incidents of Water Shortages In A Typical Month In Last FY,269897,296
c17,"haven_labelled, vctrs_vctr, double",Average Length Of Water Shortages (Affecting Production) In Last Fiscal Year,258477,11716
c17_esbr,"haven_labelled, vctrs_vctr, double",Average duration of insufficient water supply  COMBINED VERSION Manufacturing fr,270097,96
c172,"haven_labelled, vctrs_vctr, double",Average Length of Water Shortages In Last Fiscal Year,264071,6122
