statistic,value
log_sales_n,15525
log_sales_mean,17.266951969802818
log_sales_sd,2.6752316614089855
log_sales_min,10.596634733096073
log_sales_median,17.034386382832476
log_sales_max,25.10529247162029
ownership_n,15525
ownership_mean,89.19639291465379
ownership_sd,21.42865687833903
ownership_min,1
ownership_median,100
ownership_max,100
log_employees_n,15525
log_employees_mean,3.5675444800547655
log_employees_sd,1.2643840430026545
log_employees_min,1.3862943611198906
log_employees_median,3.4011973816621555
log_employees_max,7.090076835776092
firm_age_n,15525
firm_age_mean,23.032399355877615
firm_age_sd,16.610325264133568
firm_age_min,2
firm_age_median,19
firm_age_max,89
foreign_ownership_n,15525
foreign_ownership_mean,4.412173913043478
foreign_ownership_sd,19.799093170764007
foreign_ownership_min,0
foreign_ownership_median,0
foreign_ownership_max,100
exporter_n,15525
exporter_mean,0.1802254428341385
exporter_sd,0.384387499457408
exporter_min,0
exporter_median,0
exporter_max,1
monitoring_n,15525
monitoring_mean,0.5122705314009662
monitoring_sd,0.4998655103696455
monitoring_min,0
monitoring_median,1
monitoring_max,1
incentives_n,15525
incentives_mean,0.39233494363929144
incentives_sd,0.4882863842420168
incentives_min,0
incentives_median,0
incentives_max,1
low_data_reliability_n,15525
low_data_reliability_mean,0.027761674718196457
low_data_reliability_sd,0.16429456106470175
low_data_reliability_min,0
low_data_reliability_median,0
low_data_reliability_max,1
informal_payments_dummy_n,15525
informal_payments_dummy_mean,0.1776489533011272
informal_payments_dummy_sd,0.38222926793939443
informal_payments_dummy_min,0
informal_payments_dummy_median,0
informal_payments_dummy_max,1
informal_payments_n,15525
informal_payments_mean,1.1904669887278583
informal_payments_sd,4.34434618758969
informal_payments_min,0
informal_payments_median,0
informal_payments_max,25
corruption_n,15525
corruption_mean,0.20405797101449274
corruption_sd,0.4030245375669984
corruption_min,0
corruption_median,0
corruption_max,1
pbc_n,15525
pbc_mean,0.10270531400966183
pbc_sd,0.20564163210837555
pbc_min,0
pbc_median,0
pbc_max,1
