variable_name,variable_type,variable_label,missing_values,non_missing_values
idstd,numeric,WEB STD FIRMID,0,270193
country,character,Economy,0,270193
region,"haven_labelled, vctrs_vctr, double",Region,0,270193
sample,numeric,Dummy equal 1 for the latest survey in each economy,0,270193
wt,numeric,Weight According To Median Eligibility,0,270193
stra_sector,character,Cut: Stratification Sector,0,270193
sector_ms,character,"Sector: Manufacturing Or Services, based on stra_sector",0,270193
size,"haven_labelled, vctrs_vctr, double","Small, Medium, And Large Firm Categories Based On No. Of Employees",0,270193
size_num,numeric,"Total Number Of Full Time Employees, Adjusted For Temp. and Part-time Workers",1383,268810
isic_v4,numeric,"ISIC code (Rev. 4.0), based on d1a2_v4",11804,258389
a14y,numeric,Year,29791,240402
a17,"haven_labelled, vctrs_vctr, double",Responses To The Questions About Figures Areâ€¦,551,269642
b3,"haven_labelled, vctrs_vctr, double",What Percentage Of This Firm Does The Largest Owner(S) Own?,52701,217492
b5,"haven_labelled, vctrs_vctr, double",Year Establishment Began Operations,43,270150
b6b,"haven_labelled, vctrs_vctr, double",In What Year Was This Establishment Formally Registered?,21290,248903
b7,"haven_labelled, vctrs_vctr, double",How Many Years Of Experience Working In This Sector Does The Top Manager Have?,1040,269153
d2,"haven_labelled, vctrs_vctr, double","In Last Fiscal Year, What Were This Establishmentâ€™S Total Annual Sales?",52,270141
d3c,"haven_labelled, vctrs_vctr, double",% Of Sales: Direct Exports,297,269896
e2,"haven_labelled, vctrs_vctr, double",How Many Competitors Did This EstablishmentÓ“ Main Product/Product Line Face?,243068,27125
e11,"haven_labelled, vctrs_vctr, double",Does This Establishment Compete Against Unregistered Or Informal Firms?,13584,256609
f1,"haven_labelled, vctrs_vctr, double","In Last Fy, What Was The Capacity Utilization (%) Of This Establishment?",138267,131926
h1,"haven_labelled, vctrs_vctr, double",New Products/Services Introduced Over Last 3 Yrs,51170,219023
h5,"haven_labelled, vctrs_vctr, double","During Last 3 Yrs, Establishment Introduced New/Significantly Improved Process",52178,218015
j7a,"haven_labelled, vctrs_vctr, double",Percent Of Total Annual Sales Paid In Informal Payments,36763,233430
j7b,"haven_labelled, vctrs_vctr, double",Total Annual Informal Payment,226759,43434
j30f,"haven_labelled, vctrs_vctr, double",How Much Of An Obstacle: Corruption,79,270114
r2,"haven_labelled, vctrs_vctr, double",Did This Establishment Monitor Any Production Performance Indicators?,186608,83585
r8,"haven_labelled, vctrs_vctr, double",Was There Performance Bonuses Based On Production Targets?,186158,84035
l1,"haven_labelled, vctrs_vctr, double","Num. Permanent, Full-Time Employees At End Of Last Fiscal Year",23,270170
