variable,missing_count
missing_ln_sales,25016
missing_ownership_10,60836
missing_monitoring,187491
missing_incentives,187370
missing_low_data_reliability,31059
missing_informal_payment_dummy,65847
missing_pbc_core,91865
missing_pbc_environment,95852
missing_pbc_alt,97686
missing_pbc_environment_alt,101703
missing_ln_employees,1399
missing_firm_age,33323
missing_manager_experience,7002
missing_exporter,3567
missing_product_innovation,52297
missing_process_innovation,54331
missing_capacity_utilization,148935
