statistic,value
ln_sales_n,15812
ln_sales_mean,17.26981036744784
ln_sales_sd,2.6773279297639307
ln_sales_min,10.596634733096073
ln_sales_p25,15.319587954740548
ln_sales_median,17.034386382832476
ln_sales_p75,19.11382792451231
ln_sales_max,25.10529247162029
sales_total_n,15812
sales_total_mean,1409286495.1232102
sales_total_sd,8197100739.763687
sales_total_min,40000
sales_total_p25,4500000
sales_total_median,25000000
sales_total_p75,200000000
sales_total_max,80000000000
ownership_n,15812
ownership_mean,89.1414748292436
ownership_sd,21.46133709708576
ownership_min,1
ownership_p25,99
ownership_median,100
ownership_p75,100
ownership_max,100
ownership_10_n,15812
ownership_10_mean,8.914147482924362
ownership_10_sd,2.1461337097085758
ownership_10_min,0.1
ownership_10_p25,9.9
ownership_10_median,10
ownership_10_p75,10
ownership_10_max,10
monitoring_n,15812
monitoring_mean,0.516000505944852
monitoring_sd,0.4997597216601561
monitoring_min,0
monitoring_p25,0
monitoring_median,1
monitoring_p75,1
monitoring_max,1
incentives_n,15812
incentives_mean,0.39659752087022515
incentives_sd,0.4892065645959467
incentives_min,0
incentives_p25,0
incentives_median,0
incentives_p75,1
incentives_max,1
low_data_reliability_n,15812
low_data_reliability_mean,0.02826966860612193
low_data_reliability_sd,0.16574749431683156
low_data_reliability_min,0
low_data_reliability_p25,0
low_data_reliability_median,0
low_data_reliability_p75,0
low_data_reliability_max,1
informal_payment_dummy_n,15812
informal_payment_dummy_mean,0.1778396154819125
informal_payment_dummy_sd,0.382389767353304
informal_payment_dummy_min,0
informal_payment_dummy_p25,0
informal_payment_dummy_median,0
informal_payment_dummy_p75,0
informal_payment_dummy_max,1
informal_payment_share_n,15812
informal_payment_share_mean,1.2356438148241842
informal_payment_share_sd,4.428862671359159
informal_payment_share_min,0
informal_payment_share_p25,0
informal_payment_share_median,0
informal_payment_share_p75,0
informal_payment_share_max,25
pbc_core_n,15812
pbc_core_mean,0.1030546420440172
pbc_core_sd,0.20582597619520906
pbc_core_min,0
pbc_core_p25,0
pbc_core_median,0
pbc_core_p75,0
pbc_core_max,1
pbc_core_binary_n,15812
pbc_core_binary_mean,0.20320010118897042
pbc_core_binary_sd,0.40239291792150955
pbc_core_binary_min,0
pbc_core_binary_p25,0
pbc_core_binary_median,0
pbc_core_binary_p75,0
pbc_core_binary_max,1
pbc_environment_n,15812
pbc_environment_mean,0.10342160356388458
pbc_environment_sd,0.10891392519451165
pbc_environment_min,0
pbc_environment_p25,0.008888888888888889
pbc_environment_median,0.057692307692307696
pbc_environment_p75,0.19456066945606695
pbc_environment_max,1
high_pbc_environment_n,15812
high_pbc_environment_mean,0.5083480900581836
high_pbc_environment_sd,0.4999461138575461
high_pbc_environment_min,0
high_pbc_environment_p25,0
high_pbc_environment_median,1
high_pbc_environment_p75,1
high_pbc_environment_max,1
pbc_alt_n,15245
pbc_alt_mean,0.13702853394555592
pbc_alt_sd,0.20251499211280602
pbc_alt_min,0
pbc_alt_p25,0
pbc_alt_median,0
pbc_alt_p75,0.3333333333333333
pbc_alt_max,1
pbc_environment_alt_n,15232
pbc_environment_alt_mean,0.137096196372615
pbc_environment_alt_sd,0.10457393779265592
pbc_environment_alt_min,0
pbc_environment_alt_p25,0.046296296296296294
pbc_environment_alt_median,0.13432835820895522
pbc_environment_alt_p75,0.21393034825870647
pbc_environment_alt_max,0.6666666666666667
ln_employees_n,15812
ln_employees_mean,3.5638962726050503
ln_employees_sd,1.2714234832554843
ln_employees_min,1.3862943611198906
ln_employees_p25,2.6390573296152584
ln_employees_median,3.4011973816621555
ln_employees_p75,4.4448545973771605
ln_employees_max,7.090076835776092
employees_n,15812
employees_mean,86.22452355516792
employees_sd,161.62042280216065
employees_min,4
employees_p25,14
employees_median,30
employees_p75,85.18749809265137
employees_max,1200
firm_age_n,15812
firm_age_mean,23.10858841386289
firm_age_sd,16.682279066953416
firm_age_min,2
firm_age_p25,12
firm_age_median,19
firm_age_p75,30
firm_age_max,89
manager_experience_n,15812
manager_experience_mean,19.64647103465722
manager_experience_sd,11.10092434670169
manager_experience_min,1
manager_experience_p25,10
manager_experience_median,19
manager_experience_p75,26
manager_experience_max,50
exporter_n,15721
exporter_mean,0.18090452261306533
exporter_sd,0.38495129873463685
exporter_min,0
exporter_p25,0
exporter_median,0
exporter_p75,0
exporter_max,1
product_innovation_n,15788
product_innovation_mean,0.22333417785659995
product_innovation_sd,0.4164937095889561
product_innovation_min,0
product_innovation_p25,0
product_innovation_median,0
product_innovation_p75,0
product_innovation_max,1
process_innovation_n,15753
process_innovation_mean,0.15660509109375992
process_innovation_sd,0.3634395706307096
process_innovation_min,0
process_innovation_p25,0
process_innovation_median,0
process_innovation_p75,0
process_innovation_max,1
capacity_utilization_n,7547
capacity_utilization_mean,79.15251093149595
capacity_utilization_sd,22.624498623604904
capacity_utilization_min,0
capacity_utilization_p25,70
capacity_utilization_median,80
capacity_utilization_p75,100
capacity_utilization_max,100
number_competitors_n,0
number_competitors_mean,NA
number_competitors_sd,NA
number_competitors_min,Inf
number_competitors_p25,NA
number_competitors_median,NA
number_competitors_p75,NA
number_competitors_max,-Inf
informal_competition_n,15483
informal_competition_mean,0.31421559129367693
informal_competition_sd,0.46421769876681446
informal_competition_min,0
informal_competition_p25,0
informal_competition_median,0
informal_competition_p75,1
informal_competition_max,1
