"variable_name","variable_type","variable_label"
"idstd","numeric","WEB STD FIRMID"
"country","character","Economy"
"region","haven_labelled, vctrs_vctr, double","Region"
"sample","numeric","Dummy equal 1 for the latest survey in each economy"
"wt","numeric","Weight According To Median Eligibility"
"wt_BR","numeric","Weights for follow-up survey sample questions according to median eligibility"
"wt_rs","numeric","Control: Re-Scaled Es Survey Weights"
"stra_sector","character","Cut: Stratification Sector"
"sector_MS","character","Sector: Manufacturing Or Services, based on stra_sector"
"size","haven_labelled, vctrs_vctr, double","Small, Medium, And Large Firm Categories Based On No. Of Employees"
"size_num","numeric","Total Number Of Full Time Employees, Adjusted For Temp. and Part-time Workers"
"a3ax","character","City/ Town/ Village"
"isic_v4","numeric","ISIC code (Rev. 4.0), based on d1a2_v4"
"isic_v3_1","numeric","ISIC Code 3.1., Based On d1a2"
"a6b","haven_labelled, vctrs_vctr, double","NOT FOR ANALYSIS: Screener Size"
"a6c","numeric","Screener Size"
"a6c_BR","numeric","Follow-up: Screener Size"
"a7","haven_labelled, vctrs_vctr, double","Establishment Is Part Of A Large Firm"
"a7_BR","haven_labelled, vctrs_vctr, double","Follow-up: Establishment part of a multi-establishment Firm?"
"a7a","haven_labelled, vctrs_vctr, double","Number Of Establishments In The Firm"
"a7a_BR","haven_labelled, vctrs_vctr, double","Follow-up: Number of Establishments In The Firm"
"a7c","haven_labelled, vctrs_vctr, double","Does This Headquarters Location Engage In Production Or Sales At This Location?"
"a7c_BR","haven_labelled, vctrs_vctr, double","Follow-up: Does This Headquarters Location Engage In Production or Sales At This"
"a8","haven_labelled, vctrs_vctr, double","Type Of Establishment"
"a8a","numeric","Type Of Establishment"
"a9","haven_labelled, vctrs_vctr, double","Establishment'S Financial Statements Prepared Separately From Hq Statements"
"a9_BR","haven_labelled, vctrs_vctr, double","Follow-up: Establishment'S Financial Statements Prepared Separately From Hq Stat"
"a10","haven_labelled, vctrs_vctr, double","Establishment Financial Statements Separate From Other Establishments"
"a11","haven_labelled, vctrs_vctr, double","If Hq, Financial Statements Independent Of The Rest Of Establishment"
"a11_BR","haven_labelled, vctrs_vctr, double","Follow-up: If Hq, Financial Statements Independent of The Rest of Establishment"
"a11a","numeric","How Many Establishments Are Included In The Financial Statements?"
"a14","character","Start Date"
"a14d","numeric","Day"
"a14d_BR","haven_labelled, vctrs_vctr, double","Follow-up: Day"
"a14h","numeric","Hour"
"a14h_BR","haven_labelled, vctrs_vctr, double","Follow-up: Hour"
"a14m","numeric","Month"
"a14m_BR","haven_labelled, vctrs_vctr, double","Follow-up: Month"
"a14min","numeric","Minutes"
"a14min_BR","haven_labelled, vctrs_vctr, double","Follow-up: Minutes"
"a14y","numeric","Year"
"a14y_BR","haven_labelled, vctrs_vctr, double","Follow-up: Year"
"a15","character","End Date"
"a15d","numeric","Day"
"a15d_BR","haven_labelled, vctrs_vctr, double","Follow-up: Day"
"a15h","numeric","Hour"
"a15h_BR","haven_labelled, vctrs_vctr, double","Follow-up: Hour"
"a15m","numeric","Month"
"a15m_BR","haven_labelled, vctrs_vctr, double","Follow-up: Month"
"a15min","numeric","Minutes"
"a15min_BR","haven_labelled, vctrs_vctr, double","Follow-up: Minutes"
"a15y","numeric","Year"
"a15y_BR","haven_labelled, vctrs_vctr, double","Follow-up: Year"
"a16","haven_labelled, vctrs_vctr, double","Perception Of The Questions Regarding Opinions And Perceptions"
"a16_BR","haven_labelled, vctrs_vctr, double","Follow-up: Perception of The Questions Regarding Opinions And Perceptions"
"a17","haven_labelled, vctrs_vctr, double","Responses To The Questions About Figures Areâ€¦"
"a17_BR","haven_labelled, vctrs_vctr, double","Follow-up: Responses To The Questions About Figures Areâ€¦"
"a18","haven_labelled, vctrs_vctr, double","This Questionnaire Was Completed In:"
"a18_BR","haven_labelled, vctrs_vctr, double","Follow-up: This Questionnaire Was Completed In:"
"a19h","numeric","If Option 2 Or 3 In A.18, Estimate Duration Of The Whole Interview: Hours"
"a19h_BR","haven_labelled, vctrs_vctr, double","Follow-up: If Option 2 or 3 In A.18, Estimate Duration of The Whole Interview: H"
"a19min","numeric","If Option 2 Or 3 In A.18, Estimate Duration Of The Whole Interview:Minutes"
"a20dend","numeric","Fiscal Year End Day"
"a20dstart","numeric","Day When The Fiscal Year Begins"
"a20mend","numeric","Fiscal Year End Month"
"a20mstart","numeric","Month When The Fiscal Year Begins"
"a20yend","numeric","Year When The Fiscal Year Ends"
"a20ystart","numeric","Year When The Fiscal Year Begins"
"b1","haven_labelled, vctrs_vctr, double","Legal Status Of The Firm"
"b1x","character","Other (Specify)"
"b2a","haven_labelled, vctrs_vctr, double","% Owned By Private Domestic Individuals, Companies Or Organizations"
"b2b","haven_labelled, vctrs_vctr, double","% Owned By Private Foreign Individuals, Companies Or Organizations"
"b2c","haven_labelled, vctrs_vctr, double","% Owned By Government/State"
"b2d","haven_labelled, vctrs_vctr, double","% Owned By Other"
"b3","haven_labelled, vctrs_vctr, double","What Percentage Of This Firm Does The Largest Owner(S) Own?"
"b3a","numeric","Is the largest owner also the top manager?"
"b4","haven_labelled, vctrs_vctr, double","Amongst The Owners Of The Firm, Are There Any Females?"
"b4a","haven_labelled, vctrs_vctr, double","% Of The Firm Owned By Females"
"b4a_cat","haven_labelled, vctrs_vctr, double","Female Ownership Categories"
"b5","haven_labelled, vctrs_vctr, double","Year Establishment Began Operations"
"b6","haven_labelled, vctrs_vctr, double","Number Of Full-Time Employees Of The Establishment When It Started Operations"
"b6a","haven_labelled, vctrs_vctr, double","Was Establishment Formally Registered When It Began Operations?"
"b6b","haven_labelled, vctrs_vctr, double","In What Year Was This Establishment Formally Registered?"
"b7","haven_labelled, vctrs_vctr, double","How Many Years Of Experience Working In This Sector Does The Top Manager Have?"
"b7a","haven_labelled, vctrs_vctr, double","Is The Top Manager Female?"
"b8","haven_labelled, vctrs_vctr, double","Does Establishment Have An Internationally-Recognized Quality Certification?"
"b8x","character","Specify The Internationally-Recognized Quality Certifications"
"c1","haven_labelled, vctrs_vctr, double","Use Of Own Transport"
"c2","haven_labelled, vctrs_vctr, double","% Of Shipments Use Own Transport"
"c3","haven_labelled, vctrs_vctr, double","Application To Obtain An Electrical Connection Submitted Over The Last 2 Years"
"c3_BR","haven_labelled, vctrs_vctr, double","Follow-up: Application To Obtain An Electrical Connection Submitted Over The Las"
"c4","haven_labelled, vctrs_vctr, double","How Many Days Did It Take For You To Receive An Electrical Connection Service?"
"c5","haven_labelled, vctrs_vctr, double","Informal Gift/Payment Expected Or Requested For An Electrical Connection?"
"c31","haven_labelled, vctrs_vctr, double","Cost to obtain electrical connection"
"c31_BR","haven_labelled, vctrs_vctr, double","Cost to obtain electrical connection"
"c32","haven_labelled, vctrs_vctr, double","Electricity consumption in a typical month (kWh)"
"c32_BR","haven_labelled, vctrs_vctr, double","Electricity consumption in a typical month (kWh)"
"c32b","haven_labelled, vctrs_vctr, double","Cost of monthly electricity consumption"
"c6","haven_labelled, vctrs_vctr, double","Over Last Fy, Did This Establishment Experience Power Outages?"
"c7","haven_labelled, vctrs_vctr, double","Number Of Power Outages Experienced In A Typical Month In Last Fiscal Year"
"c8","haven_labelled, vctrs_vctr, double","How Long Did The Average Power Outage Last?"
